question_id,question,category,topics,topic
112,What are your strengths?,General,"Self-awareness, communication, self-promotion",Self-awareness
112,What are your strengths?,General,"Self-awareness, communication, self-promotion", communication
112,What are your strengths?,General,"Self-awareness, communication, self-promotion", self-promotion
113,What are your weaknesses?,General,"Self-awareness, honesty, self-reflection, communication",Self-awareness
113,What are your weaknesses?,General,"Self-awareness, honesty, self-reflection, communication", honesty
113,What are your weaknesses?,General,"Self-awareness, honesty, self-reflection, communication", self-reflection
113,What are your weaknesses?,General,"Self-awareness, honesty, self-reflection, communication", communication
114,Why are you interested in working for [insert company name here]?,General,"Research skills, Communication skills, Persuasion skills, Self-awareness",Research skills
114,Why are you interested in working for [insert company name here]?,General,"Research skills, Communication skills, Persuasion skills, Self-awareness", Communication skills
114,Why are you interested in working for [insert company name here]?,General,"Research skills, Communication skills, Persuasion skills, Self-awareness", Persuasion skills
114,Why are you interested in working for [insert company name here]?,General,"Research skills, Communication skills, Persuasion skills, Self-awareness", Self-awareness
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition",Career planning
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition", foresight
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition", self-awareness
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition", long-term goals
115,Where do you see yourself in five years? Ten years?,General,"Career planning, foresight, self-awareness, long-term goals, ambition", ambition
116,Why do you want to leave your current company?,General,"Communication skills, self-awareness, critical thinking, problem-solving",Communication skills
116,Why do you want to leave your current company?,General,"Communication skills, self-awareness, critical thinking, problem-solving", self-awareness
116,Why do you want to leave your current company?,General,"Communication skills, self-awareness, critical thinking, problem-solving", critical thinking
116,Why do you want to leave your current company?,General,"Communication skills, self-awareness, critical thinking, problem-solving", problem-solving
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,"Communication skills, Honesty,  Problem-solving skills,  Self-awareness",Communication skills
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,"Communication skills, Honesty,  Problem-solving skills,  Self-awareness", Honesty
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,"Communication skills, Honesty,  Problem-solving skills,  Self-awareness",  Problem-solving skills
117,Why was there a gap in your employment between [insert date] and [insert date]?,General,"Communication skills, Honesty,  Problem-solving skills,  Self-awareness",  Self-awareness
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication",Self-promotion
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication", differentiation
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication", unique selling proposition
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication", persuasive communication
118,What can you offer us that someone else can not?,General,"Self-promotion, differentiation, unique selling proposition, persuasive communication, concise communication", concise communication
119,What are three things your former manager would like you to improve on?,General,"Self-awareness, self-reflection, honesty, critical thinking",Self-awareness
119,What are three things your former manager would like you to improve on?,General,"Self-awareness, self-reflection, honesty, critical thinking", self-reflection
119,What are three things your former manager would like you to improve on?,General,"Self-awareness, self-reflection, honesty, critical thinking", honesty
119,What are three things your former manager would like you to improve on?,General,"Self-awareness, self-reflection, honesty, critical thinking", critical thinking
120,Are you willing to relocate?,General,"Adaptability, Willingness to relocate, Communication skills",Adaptability
120,Are you willing to relocate?,General,"Adaptability, Willingness to relocate, Communication skills", Willingness to relocate
120,Are you willing to relocate?,General,"Adaptability, Willingness to relocate, Communication skills", Communication skills
121,Are you willing to travel? *(Post COVID-19),General,"Flexibility, Adaptability, Willingness to relocate",Flexibility
121,Are you willing to travel? *(Post COVID-19),General,"Flexibility, Adaptability, Willingness to relocate", Adaptability
121,Are you willing to travel? *(Post COVID-19),General,"Flexibility, Adaptability, Willingness to relocate", Willingness to relocate
122,Tell me about an accomplishment you are most proud of.,General,"Communication skills, storytelling skills, self-reflection, critical thinking",Communication skills
122,Tell me about an accomplishment you are most proud of.,General,"Communication skills, storytelling skills, self-reflection, critical thinking", storytelling skills
122,Tell me about an accomplishment you are most proud of.,General,"Communication skills, storytelling skills, self-reflection, critical thinking", self-reflection
122,Tell me about an accomplishment you are most proud of.,General,"Communication skills, storytelling skills, self-reflection, critical thinking", critical thinking
123,Tell me about a time you made a mistake.,General,"Communication skills, self-reflection, storytelling, critical thinking",Communication skills
123,Tell me about a time you made a mistake.,General,"Communication skills, self-reflection, storytelling, critical thinking", self-reflection
123,Tell me about a time you made a mistake.,General,"Communication skills, self-reflection, storytelling, critical thinking", storytelling
123,Tell me about a time you made a mistake.,General,"Communication skills, self-reflection, storytelling, critical thinking", critical thinking
124,What is your dream job?,General,"Communication skills, Self-awareness, Career planning, Goal setting",Communication skills
124,What is your dream job?,General,"Communication skills, Self-awareness, Career planning, Goal setting", Self-awareness
124,What is your dream job?,General,"Communication skills, Self-awareness, Career planning, Goal setting", Career planning
124,What is your dream job?,General,"Communication skills, Self-awareness, Career planning, Goal setting", Goal setting
125,How did you hear about this position?,General,"Communication skills, Interpersonal skills",Communication skills
125,How did you hear about this position?,General,"Communication skills, Interpersonal skills", Interpersonal skills
126,What would you look to accomplish in the first 30 days/60 days/90 days on the job?,General,"Planning, Goal-setting, Prioritization, Time-management, Strategic thinking",Planning
