question_id,question,category,topics
1, What is padding,Data Science,Data Science
2, Sigmoid Vs Softmax,Data Science,Data Science
3, What is PoS Tagging,Data Science,Data Science
4, What is tokenization,Data Science,Data Science
5, What is topic modeling,Data Science,Data Science
6, What is back propagation,Data Science,Data Science
7, What is the idea behind GANs,Data Science,Data Science
8, What is the Computational Graph,Data Science,Data Science
9, What is sigmoid What does it do,Data Science,Data Science
10, What is Named-Entity Recognition,Data Science,Data Science
11, Explain the masked language model,Data Science,Data Science
12, How do you preprocess text in NLP,Data Science,Data Science
13, How do you extract features in NLP,Data Science,Data Science
14, How is wordvec different from Glove,Data Science,Data Science
15, What Are the Different Layers on CNN,Data Science,Data Science
16, What makes CNNs translation invariant,Data Science,Data Science
17, How is fastText different from wordvec,Data Science,Data Science
18, Explain Generative Adversarial Network,Data Science,Data Science
19, What is backward and forward propagation,Data Science,Data Science
20, What are Syntactic and Semantic Analysis,Data Science,Data Science
21, What is a local optimumWhat is a local optimum,Data Science,Data Science
22, Explain gates used in LSTM with their functions,Data Science,Data Science
23, What is ReLU How is it better than sigmoid or tanh,Data Science,Data Science
24, What is transfer learning have you used it before,Data Science,Data Science
25, What is multi-task learning When should it be used,Data Science,Data Science
26, Difference between convex and non-convex cost function,Data Science,Data Science
27, Why do we remove stop words When do we not remove them,Data Science,Data Science
28, Explain the difference between an epoch a batch and an iteration,Data Science,Data Science
29, What is the difference between NLP and NLU,Data Science,Data Science
30, For online learning which one would you prefer SGD or Adagrad and why,Data Science,Data Science
31, What Is a Multi-layer Perceptron MLPWhat Is a Multi-layer Perceptron MLP,Data Science,Data Science
32, Is it always bad to have local optimaIs it always bad to have local optima,Data Science,Data Science
33," In node2vec, what does embedding represent topological similarity or nearness",Data Science,Data Science
34, What do you understand by Boltzmann Machine and Restricted Boltzmann Machines,Data Science,Data Science
35, How to compute an inverse matrix faster by playing around with some computational tricks,Data Science,Data Science
36, For infrequent/rare words which among CBOW and SkipGram should be used for wordvec training,Data Science,Data Science
37, What is pooling in CNN Why do we need it,Data Science,Data Science
38, Describe the structure of Artificial Neural Networks & RNN(recurrent neural network),Data Science,Data Science
39, How to Select a Batch Size Will selecting a batch size produce better or worse results?,Data Science,Data Science
40, What are N-grams How can we use them,Data Science,Data Science
41, How large should be N for our bag of words when using N-grams,Data Science,Data Science
42, How can you use neural nets for text classification and computer vision,Data Science,Data Science
43, Do gradient descent methods always converge at the same point,Data Science,Data Science
44, What is gradient descent How does it work,Data Science,Data Science
45, What are autoencoders Explain the different layers of autoencoders and mention three practical usages of them,Data Science,Data Science
46, What is vanishing gradient descent,Data Science,Data Science
47, difference between Vanishing gradient Vs Exploding gradient,Data Science,Data Science
48, How to handle dying node problems in case of ReLU activation function,Data Science,Data Science
49, What is the use of the leaky ReLU function,Data Science,Data Science
50, What are the different Deep Learning Frameworks,Data Science,Data Science
51, What is the difference between machine learning and deep learning,Data Science,Data Science
52, What is a dropout layer and how does it help a neural network,Data Science,Data Science
53, Explain why dropout in a neural network acts as a regularizer,Data Science,Data Science
54, How to know whether your model is suffering from the problem of Exploding Gradients,Data Science,Data Science
55, How to handle exploding gradient problem,Data Science,Data Science
56, How Does an LSTM Network Work,Data Science,Data Science
57, What problem does Bi-LSTM solve instead of only LSTM,Data Science,Data Science
58, What is the difference between LSTM and GRU,Data Science,Data Science
59, What happens to the predictions of a CNN if an image is rotated,Data Science,Data Science
60, How does CNN help in translation and rotation invariance of images,Data Science,Data Science
61, Define Term Freuency & Inverse Document Freuency Tf-idf and how to use it for converting text to vector,Data Science,Data Science
62, What are three primary convolutional neural network layers How are they commonly put together,Data Science,Data Science
63, Describe the architecture of a typical Convolutional Neural Network,Data Science,Data Science
64," What do you mean by Dropout and Batch Normalization, When and why use",Data Science,Data Science
65, What is the difference between online and batch learning,Data Science,Data Science
66, Is dropout used on the test set,Data Science,Data Science
67, What is an activation function and discuss the use of an activation function,Data Science,Data Science
68, Explain three different types of activation functions,Data Science,Data Science
69, What is the range of activation functions,Data Science,Data Science
70, Why is Rectified Linear Unit a good activation function,Data Science,Data Science
71, Why don't we use the Relu activation function in the output layer,Data Science,Data Science
72, What can go wrong if we use a linear activation instead of ReLU,Data Science,Data Science
73," Give examples in which a many-to-one RNN architecture is appropriate, Give examples in which a many-to-one RNN architecture is appropriate",Data Science,Data Science
74, What is RNN and How does an RNN work,Data Science,Data Science
